hour_of_day,day_of_week,month,event_type,venue_capacity,estimated_crowd,area_m2,entry_points,emergency_exits,security_personnel,ambient_temp_c,occupancy_ratio,density_per_m2,crowd_density_level,stampede_risk
7,1,9,1,38647,23703,87637,17,29,286,17.0,0.6133,0.2705,1,0.4248
12,2,5,0,71090,20832,160809,10,24,270,31.8,0.293,0.1295,0,0.2696
19,1,2,4,52341,27963,28397,19,2,26,12.2,0.5342,0.9847,1,0.684
10,0,9,1,38672,24113,51216,13,27,257,7.4,0.6235,0.4708,1,0.4786
3,2,7,1,42937,22618,97144,15,14,414,24.3,0.5268,0.2328,1,0.5024
3,4,11,1,31699,10928,74609,2,15,28,26.2,0.3447,0.1465,0,0.6651
11,3,1,0,95493,14628,121088,12,21,65,25.4,0.1532,0.1208,0,0.2972
19,1,10,1,81243,12108,75887,8,28,326,27.8,0.149,0.1596,0,0.3267
19,1,6,0,17749,11532,36424,16,23,191,14.4,0.6497,0.3166,1,0.3627
17,2,2,2,80540,64016,192800,5,9,312,11.7,0.7948,0.332,2,0.7551
6,1,1,1,31594,3970,51524,11,14,15,12.7,0.1257,0.0771,0,0.5276
13,2,7,1,26386,7336,56060,3,28,178,21.8,0.278,0.1309,0,0.481
17,2,9,0,73022,26156,84441,18,28,446,32.4,0.3582,0.3098,0,0.1354
3,2,5,0,8715,5665,10075,8,26,331,6.9,0.65,0.5623,1,0.3663
1,2,8,0,86976,19035,186328,4,17,357,9.5,0.2189,0.1022,0,0.3377
6,2,3,1,98666,74069,51257,5,29,450,7.6,0.7507,1.4451,2,0.5677
3,2,6,0,54081,44310,35010,14,7,8,32.1,0.8193,1.2656,2,0.5723
15,1,12,0,62207,46398,106196,8,6,439,15.7,0.7459,0.4369,1,0.4805
23,0,11,2,15052,10204,20799,7,8,374,5.8,0.6779,0.4906,1,0.687
8,1,11,3,13390,1229,11311,9,23,124,38.0,0.0918,0.1087,0,0.4325
11,2,11,0,29575,13960,29532,19,27,343,8.8,0.472,0.4727,0,0.2332
2,4,7,0,12401,7599,16854,9,29,32,17.2,0.6128,0.4509,1,0.438
17,1,5,0,68506,35214,158909,6,18,44,27.8,0.514,0.2216,1,0.4917
5,0,9,0,38219,15214,47162,15,7,375,11.3,0.3981,0.3226,0,0.3732
22,0,7,4,87382,18443,80802,7,11,317,6.5,0.2111,0.2282,0,0.549
22,3,3,2,34830,1247,71944,8,21,377,36.4,0.0358,0.0173,0,0.3681
2,1,2,0,13240,7694,23776,11,26,71,10.8,0.5811,0.3236,1,0.4174
2,4,11,0,44161,24255,83550,13,29,273,9.1,0.5492,0.2903,1,0.2943
15,6,11,4,25816,5022,12975,9,4,413,21.4,0.1945,0.3871,0,0.4798
14,4,2,0,3445,705,8429,5,19,223,35.6,0.2046,0.0836,0,0.3614
6,1,7,2,57244,42912,48964,1,23,255,22.4,0.7496,0.8764,1,0.6911
7,6,10,1,43491,30703,73769,1,13,388,30.6,0.706,0.4162,1,0.6873
6,3,2,0,18724,6298,26272,18,25,223,21.0,0.3364,0.2397,0,0.2358
16,2,9,3,45376,12261,67534,15,23,297,32.4,0.2702,0.1816,0,0.4336
4,4,11,0,83617,45916,75960,17,12,25,9.2,0.5491,0.6045,1,0.4698
18,0,2,3,42017,5548,74788,8,7,374,11.4,0.132,0.0742,0,0.4871
0,0,11,0,62592,3300,77123,3,2,34,35.8,0.0527,0.0428,0,0.5264
20,0,3,0,76757,29834,69871,17,19,100,30.8,0.3887,0.427,0,0.3122
8,5,8,1,91867,28282,217619,12,20,363,30.5,0.3079,0.13,0,0.4392
20,4,10,0,44071,26013,73838,9,2,476,21.9,0.5903,0.3523,1,0.4287
