latitude,longitude,rainfall_mm_24h,rainfall_mm_72h,antecedent_rain_7d,slope_deg,aspect_deg,elevation_m,soil_type,vegetation_cover_pct,road_proximity_km,fault_proximity_km,seismic_activity,prev_landslide_1km,district_risk_index,landslide_occurred
26.580843870785383,85.12075871595631,46.14,151.93,220.34,28.79,244.2,1755.2,3,25.0,2.69,6.36,1,0,0.689,1
27.048585934141656,87.35279554330367,43.13,103.63,137.91,41.11,241.3,4279.2,2,92.5,0.74,4.39,0,0,0.958,0
29.725932388824695,85.04895322885108,41.96,86.15,116.22,23.26,215.5,1693.4,2,49.7,2.66,4.09,0,0,0.924,0
26.367787048179082,80.90686808040256,50.96,103.4,176.72,40.08,292.6,3353.2,1,93.7,2.59,6.68,0,1,0.789,0
29.23884194406575,80.69971741579866,52.62,159.38,233.02,31.91,116.3,4194.1,0,62.9,6.48,12.23,0,0,0.717,0
28.488581716316645,87.52779565857335,53.91,133.37,154.81,35.35,31.7,4146.5,3,70.1,4.87,25.36,1,1,0.368,0
29.528709928533946,83.37481183918106,73.94,231.67,278.52,10.18,94.8,2237.9,3,64.4,0.3,13.3,0,0,0.625,0
28.561154797137114,87.74419275617322,50.41,105.68,124.47,29.57,117.9,2504.3,1,22.1,0.45,18.32,1,0,0.228,0
26.927868289467245,81.73346383732297,58.49,130.65,134.9,33.44,73.7,4634.3,3,51.1,0.41,20.12,1,0,0.666,1
28.501514488044833,85.85356373161488,47.42,116.59,199.34,28.63,244.2,2066.3,3,85.9,2.55,4.87,1,0,0.709,0
29.252676792554478,82.44946788003031,46.27,127.19,170.66,34.86,37.9,1680.1,0,58.3,12.05,9.99,0,0,0.623,1
29.70970678402026,86.59999678984677,44.3,144.64,172.58,58.35,242.8,2459.1,3,78.0,4.74,1.08,0,0,0.204,0
28.386271894847507,83.1334916815404,57.51,123.73,130.06,46.15,61.1,3461.7,3,27.7,0.28,1.06,0,0,0.922,0
29.22942607460174,87.82091411129964,51.93,159.41,249.46,19.83,5.4,4152.4,2,90.6,0.04,8.28,0,0,0.846,1
29.132644866451923,85.50649332088507,48.57,163.87,165.94,23.96,237.4,1421.7,1,25.9,7.8,2.47,1,1,0.622,1
26.834817064362788,83.6198371085115,42.44,131.22,229.06,34.72,78.8,4901.3,1,52.2,0.07,3.32,2,0,0.251,1
28.10135532306535,87.30179872184526,29.72,101.48,156.03,24.25,262.8,3741.5,1,68.0,2.7,1.07,0,0,0.483,0
28.77301249353797,84.51207877857978,62.48,177.03,267.21,17.48,42.9,1700.8,3,63.9,1.95,2.72,2,0,0.872,1
29.89125106047715,87.44955148918112,44.94,135.58,213.38,19.31,123.4,3512.9,1,83.9,0.21,14.76,0,0,0.765,1
30.34583296616752,86.19082898123031,66.51,213.58,224.84,34.34,161.5,2114.1,1,92.0,0.2,26.63,2,1,0.768,1
27.275219808161083,87.3141704949492,51.96,163.92,256.69,27.28,225.1,827.8,1,82.3,3.1,6.89,0,0,0.406,1
29.98869098737603,83.7665157801064,59.22,164.42,222.72,21.12,152.3,4599.5,2,56.5,0.03,0.02,1,0,0.848,1
29.752266462145904,82.76734517258133,48.23,121.94,217.2,17.47,91.5,1762.2,2,59.4,5.22,5.28,1,1,0.703,0
27.24885628006012,86.753974481405,50.99,162.99,256.48,29.71,30.5,3588.9,0,59.6,1.25,7.82,0,0,0.273,1
30.005359194445987,80.8169484059321,47.56,144.7,168.45,30.81,138.1,3495.1,3,58.9,1.39,6.2,0,0,0.678,0
27.808026389786473,85.39637649092319,56.08,192.78,239.12,32.78,81.2,4962.0,2,79.1,1.12,7.25,2,0,0.963,1
28.443842412684656,80.44445675710661,53.78,136.7,205.19,14.92,355.8,1543.5,1,64.3,0.98,4.8,0,0,0.255,1
30.20509885715387,82.5422259506884,56.61,143.93,171.62,12.29,197.3,2327.3,2,69.3,2.64,24.66,1,0,0.535,0
27.495106734082732,86.4064314397332,33.88,111.25,204.5,29.58,284.7,4077.5,3,61.7,2.24,11.51,0,0,0.507,0
27.18510420099055,88.07484594837501,31.59,64.1,107.08,29.41,101.0,3961.7,2,76.1,1.53,45.41,2,0,0.49,0
29.9672271911482,80.65653277779313,62.67,138.35,218.31,13.33,346.0,4519.6,2,98.6,0.3,0.2,1,0,0.883,0
28.186698307184763,80.07475747342016,61.04,196.92,252.7,27.04,209.5,4097.8,2,88.6,1.64,25.22,0,0,0.427,1
29.341711907256187,80.16866069234294,56.61,163.06,221.61,17.97,338.3,1788.7,2,82.5,1.19,4.35,0,0,0.671,0
28.55183364938525,84.22569633476884,58.46,119.85,219.27,15.5,151.5,3699.0,1,62.1,1.27,31.0,0,1,0.246,0
28.258244200962242,84.06545526905849,47.51,127.39,184.68,30.1,45.6,4533.8,2,34.0,3.33,7.32,0,0,0.565,0
28.897556811701367,82.09138668309889,52.65,116.96,210.66,25.83,13.7,702.6,2,76.0,0.34,18.18,3,0,0.6,1
26.819574429997488,87.76605334666925,31.55,84.95,174.09,57.87,39.3,3210.6,2,94.6,0.41,1.3,1,0,0.618,1
28.436948404248312,80.89553892197459,64.64,137.55,172.63,60.18,58.3,1666.8,1,72.9,0.09,33.44,1,0,0.717,1
27.160962897804072,85.98015746460824,63.95,138.81,177.67,48.32,189.6,624.4,2,59.0,0.74,7.91,1,1,0.553,1
28.883738630357286,87.44302142032558,59.96,144.12,165.37,44.28,32.5,2785.0,0,73.1,0.81,0.53,0,1,0.352,1
29.84216002543849,84.32921088575314,58.46,135.44,209.79,27.79,247.0,1767.6,1,87.8,1.3,8.8,1,0,0.997,1
29.201199961282946,80.16806780177959,42.02,128.4,191.68,10.42,172.8,701.8,1,13.3,0.93,11.99,1,0,0.32,0
