latitude,longitude,hour_of_day,day_of_week,month,road_type,road_condition,visibility_m,traffic_volume,speed_limit_kmh,road_width_m,intersection_type,street_lighting,weather_condition,slope_pct,prev_accidents_1km,dist_to_hospital_km,accident_occurred
27.93078224700032,86.89102735955689,20,1,1,0,2,9884,486,50,6.1,2,0,0,17.79,1,14.73,0
27.50937744051747,84.41459981282567,21,1,7,0,1,4974,409,40,9.8,1,3,3,1.16,0,33.39,0
26.619755455512664,80.49918105145062,8,3,12,3,1,4143,268,100,3.6,3,2,0,5.7,4,65.1,1
27.805997106277054,83.53243776161948,22,0,2,3,2,6161,177,50,9.4,3,1,0,4.43,2,29.16,0
26.483545001189867,83.61479851980363,16,4,6,0,1,4995,292,40,9.9,1,2,0,3.74,1,2.68,1
28.747457951093995,80.45702127620092,5,1,12,1,3,8795,102,40,8.0,0,2,0,2.69,2,1.27,1
29.696751510446568,83.98163106393133,4,1,7,0,0,2823,98,60,6.3,0,2,0,7.89,4,11.73,1
26.849160221097392,86.1445110144567,13,0,11,1,1,6767,64,50,5.4,0,0,2,14.48,0,4.39,1
28.020536973141958,81.99610258669992,1,3,4,3,1,2956,623,50,6.9,0,1,1,5.52,0,45.46,1
29.72196654234866,84.87654947475272,0,3,3,2,2,1462,178,40,4.2,0,2,0,5.34,2,8.43,1
28.86472245760268,81.27788562331814,17,2,6,2,2,8955,907,80,9.7,2,2,3,0.53,4,1.3,1
29.3445435436849,80.89949322126337,21,4,12,0,1,6165,112,40,7.1,1,2,2,18.59,1,1.27,1
28.179991980290136,88.05617673112891,0,3,11,2,2,6239,230,60,6.9,1,0,3,10.67,1,5.83,0
27.630311220887833,88.0835188862083,19,0,10,1,2,6520,66,40,6.8,2,2,2,8.21,1,62.44,1
26.846394370400425,87.69388899057238,6,2,11,0,1,9617,266,100,9.9,0,3,0,3.85,1,16.17,1
27.72858278357836,87.16200626498495,16,1,9,2,1,5634,249,80,9.7,0,0,0,4.79,1,8.62,0
29.02959096802809,82.36966887258386,9,4,11,0,2,8265,268,60,4.1,1,1,0,13.12,1,0.31,1
27.932510384777217,81.29250285003897,14,5,11,2,0,7712,40,100,8.1,0,2,0,5.26,3,17.67,1
27.451911174948208,84.1823031547287,2,1,7,2,1,4436,124,30,4.8,1,3,0,8.03,3,17.9,1
26.572054065761193,82.38582598765709,12,6,11,0,2,7013,334,80,8.5,2,3,3,9.27,1,26.74,0
26.3844085343735,82.7451271930439,19,5,9,1,1,2339,490,50,9.3,2,1,0,4.1,1,10.47,0
27.56010355563188,85.55160888017694,9,4,2,1,2,1448,231,30,6.1,2,1,0,8.48,1,2.47,1
28.98425548246772,80.09110882959466,14,4,8,0,3,5625,63,80,4.6,0,3,0,6.02,2,32.83,0
30.346698778899373,82.20909095813205,22,6,10,1,2,6484,137,60,5.1,0,1,2,6.22,2,52.62,0
28.55028494294723,83.20859940183641,0,2,1,0,3,6385,71,60,8.6,1,1,0,1.54,0,3.99,0
27.52935268797083,84.11612690468395,5,4,4,1,1,4129,204,30,7.8,0,2,1,15.93,1,44.95,0
26.710988368170092,82.37513204541483,9,0,6,3,0,1480,209,80,5.6,1,3,2,8.84,5,35.05,1
27.931454209901144,83.5229656675335,4,0,1,0,1,6097,48,60,9.4,0,3,0,7.64,1,6.86,1
28.197054748831004,85.04798443077333,21,3,7,1,2,3115,254,100,5.8,0,3,0,13.23,3,0.86,0
26.777747795782968,81.72806069061836,1,3,3,1,2,4705,44,60,9.3,2,1,0,4.68,1,0.09,0
28.045004871191736,86.18268155421627,17,3,10,2,1,5996,109,40,4.1,1,0,1,1.23,2,12.79,0
27.284063002876675,87.93094944485637,22,1,8,1,2,8114,209,30,5.0,1,1,2,2.28,2,3.62,1
27.54237110973805,87.64776405933519,7,4,12,1,0,5776,85,30,6.0,2,3,0,2.79,2,15.73,0
27.870977229904028,80.95836183165945,2,1,5,1,2,6241,2435,60,4.2,3,1,0,1.45,4,8.54,1
28.584421055646214,81.58152073538108,2,5,11,2,0,1262,51,50,6.5,0,2,0,7.43,3,28.98,1
28.745058961516406,80.76362136783149,1,4,11,0,0,6386,21,30,6.7,1,2,2,3.57,3,0.56,0
29.317544265923807,84.98939085868848,13,6,12,3,3,7103,124,80,6.4,0,1,1,4.49,1,6.17,1
26.90154383883862,81.41961864220643,15,5,7,1,2,9241,47,30,6.9,1,1,0,7.86,2,16.7,1
30.357022762656648,86.97901507836009,12,6,3,2,1,5647,232,50,7.8,1,1,1,5.9,1,48.02,0
27.09326851682595,86.99560826997995,4,3,3,1,2,885,45,40,5.5,3,0,0,3.38,1,32.43,0
29.944552043464387,85.87440788577368,5,6,8,3,0,8982,386,80,9.9,2,3,0,5.35,0,98.21,1
30.28975816619705,83.1979147829845,21,3,6,3,3,1527,174,80,9.9,2,2,2,9.56,2,17.46,1
29.19299980449131,81.57076438312926,10,3,11,2,2,1145,94,40,9.9,2,1,2,3.29,2,20.55,0
28.036938292248717,81.33624840728864,15,1,8,3,2,6402,168,60,4.5,2,1,2,7.35,1,11.22,1
28.662547606862407,87.82677062881599,9,6,12,0,3,1271,170,40,9.9,2,3,2,0.74,1,33.57,0
27.36420108516892,83.60513289642938,1,6,2,2,0,7737,88,80,4.0,0,3,3,5.77,2,13.97,1
27.429916577400697,86.00830390171825,21,0,6,1,0,8643,213,80,9.4,0,2,2,11.45,1,4.94,0
26.881968938828706,84.3550794490118,3,4,7,2,0,5859,272,50,7.2,0,0,3,5.42,2,17.66,1
29.796202261502533,80.98673368853545,1,0,7,2,1,9991,10,50,8.2,1,2,2,0.77,2,4.58,0
26.63900674226254,81.75388016134004,18,3,2,2,2,8770,50,60,6.5,0,1,0,7.19,1,4.27,1
30.434300813484274,85.53872767501285,22,6,10,1,1,8327,1784,60,7.3,0,1,3,2.68,0,4.49,0
26.395913238949767,83.94808917295029,21,5,5,1,3,3102,10,100,8.3,0,1,0,5.66,0,2.72,0
30.094798218081934,85.29982587627896,23,4,9,1,3,7655,107,80,9.5,3,3,0,6.68,4,50.73,0
27.030104938599983,87.67997459640442,3,5,5,0,2,4341,134,30,5.8,0,2,0,1.89,1,26.73,0
28.18044272838703,84.99402615710407,13,3,10,3,1,7593,80,60,5.1,0,0,0,2.77,2,42.16,1
27.317833623972042,83.26447264071038,10,0,6,2,3,9517,101,30,7.3,0,2,0,3.84,2,16.36,0
28.908853353168553,81.70755929787121,19,2,7,1,2,8934,554,80,8.9,0,1,2,5.73,1,2.53,0
28.498253919842007,80.56196741776974,0,5,9,1,2,6305,109,80,7.0,0,3,0,0.71,2,6.87,0
27.861139710445723,87.48364976981728,1,5,10,2,1,2981,253,30,6.2,0,3,0,0.9,3,8.47,0
26.599145932198798,85.60765557254129,22,0,10,1,0,1021,18,60,6.3,0,2,0,3.74,5,7.91,1
27.10466516398921,87.01586163968622,10,3,12,1,3,3543,162,30,5.7,0,1,0,8.21,1,9.99,0
26.78204135637049,87.39374824833796,19,3,3,2,3,4162,123,50,5.4,3,2,0,7.99,0,17.33,0
28.820938650665397,85.2363327757021,3,3,9,2,3,7753,323,60,8.5,1,1,0,2.0,0,6.8,1
27.19378440004686,87.57239106154636,22,4,2,2,3,4628,416,60,8.3,2,3,0,3.97,3,6.95,0
27.59792739069344,83.06468344817726,4,2,7,2,2,3978,235,100,6.0,0,0,0,0.49,2,5.91,0
27.252412082135706,80.46303991469198,19,5,6,1,0,5055,63,80,3.7,2,2,0,5.79,2,57.86,0
29.361942894138767,82.03284054740286,10,4,1,2,1,4624,190,100,8.7,1,1,0,8.3,0,23.28,0
29.06727023090051,83.7871497207048,13,0,2,1,0,8605,160,40,5.4,2,0,0,6.11,2,3.24,0
27.956700061324476,84.41672467135308,4,4,3,0,0,3889,40,30,6.8,2,2,1,13.88,0,5.55,0
30.164457903766134,81.62296027461485,23,5,10,0,2,2031,129,100,4.5,1,3,0,5.22,1,3.09,1
28.01191484922889,84.65110086201149,12,2,1,3,3,2704,226,30,4.0,0,3,2,4.3,0,12.66,1
30.08290726427027,83.7708899738025,4,1,2,1,2,7265,175,50,7.7,0,1,1,2.1,3,1.47,1
29.330133764893294,85.54308741744723,15,3,6,3,0,7274,168,50,9.1,0,3,3,1.43,2,12.31,0
28.612240800106328,81.29206955592367,22,6,6,3,2,1491,74,50,4.4,3,0,0,4.82,3,3.15,0
26.540883930862105,84.63187304715358,21,6,11,0,1,8164,727,40,7.6,0,3,0,0.88,2,3.67,0
27.581943063967564,85.8074149479986,20,1,8,2,1,3200,557,100,6.4,1,3,3,3.19,1,28.67,1
27.21601108955975,83.89425416835498,4,2,12,2,1,6193,34,30,7.9,1,2,2,9.89,1,6.06,0
28.04907398874766,82.54935217385012,13,4,2,1,2,4957,429,50,9.8,0,3,2,3.9,6,7.11,0
26.87375535110239,80.83679448055652,19,4,9,1,2,7805,241,50,4.8,0,2,3,22.96,2,14.3,1
29.10662381880389,80.86499974827615,17,2,6,3,0,4863,120,80,9.0,0,2,0,5.49,1,38.83,1
27.607145052337177,86.98924446292591,12,2,6,1,2,6320,356,30,5.9,1,0,0,1.33,2,3.64,0
27.178302298899457,87.04969632362395,17,3,1,0,2,1633,609,40,6.0,3,1,3,11.29,0,11.45,0
27.03537193587758,80.06151158297344,6,1,10,1,3,7478,295,50,3.5,1,3,2,5.46,1,10.95,0
27.558140557026572,80.57068319516073,15,0,6,2,1,8450,113,60,8.9,0,2,0,2.23,1,15.44,0
30.423252422528343,85.76216323236022,4,3,7,3,3,4280,244,30,5.8,1,3,0,3.98,0,4.39,1
29.173036388857497,81.07087255512323,20,5,6,2,2,959,419,50,4.8,1,3,0,6.74,0,1.32,1
29.735465355746545,80.21784134986832,15,0,3,3,1,3100,554,60,5.7,3,3,2,4.54,1,18.2,0
28.131517546920403,86.64607172134511,0,0,1,1,2,1691,68,50,3.5,0,1,0,1.97,4,3.32,0
29.66223235122979,81.70560996538751,18,0,7,0,1,4820,290,40,9.0,0,0,0,3.88,0,10.36,1
29.309104714847024,82.93623469217985,4,2,7,0,2,1919,165,80,6.7,1,0,0,7.19,2,9.47,1
30.281676811354696,83.73198051484671,1,6,6,0,3,5579,50,60,6.8,0,0,0,4.06,5,14.14,0
29.580343325858422,84.92941328598215,18,0,9,3,0,3072,259,60,9.6,1,3,1,9.12,4,18.03,0
29.329549627452856,87.34299457420046,4,4,3,2,1,3778,575,100,3.8,0,2,2,13.03,0,9.56,0
28.43115648827902,80.60347948944927,9,2,7,1,1,7570,67,40,4.8,2,1,0,3.63,0,15.01,0
28.969530144875183,84.31071796709209,13,4,3,3,1,3826,3470,40,9.9,0,1,0,1.55,0,10.8,0
29.359454225654737,81.3062883196257,1,1,2,1,1,6345,108,30,9.0,0,2,0,9.73,2,2.45,0
29.596775935417465,86.82726831877274,16,1,8,2,1,2084,116,60,5.1,0,1,2,3.07,2,7.91,1
30.105994541180536,84.9842105558707,1,0,5,2,1,8105,41,50,8.2,0,0,2,4.5,1,15.61,1
29.910120163225475,84.14155039974469,17,4,7,1,2,2520,67,80,7.6,1,1,0,3.89,1,26.15,0
28.308635757715805,87.14935829537006,23,1,7,2,2,1590,95,40,5.0,3,1,0,2.48,2,10.6,0
27.652441082966156,81.50928900093894,20,3,10,3,3,3223,56,60,6.5,0,3,0,5.04,2,12.79,1
29.607870209815374,81.61169024164487,11,5,8,3,1,3230,295,50,5.4,0,2,0,4.28,5,10.77,1
27.93400110463598,80.30287401748521,16,3,11,2,2,5715,99,60,7.0,1,3,0,5.78,3,15.77,0
27.5873576851816,85.84358744057337,4,6,7,3,2,6429,167,40,5.2,1,1,3,7.72,0,56.25,1
26.766273009058533,80.40151643026431,22,5,5,0,3,2508,67,30,5.5,2,1,2,1.23,0,16.81,1
27.03404672054495,86.93430580513899,6,4,1,3,2,5687,74,50,9.0,0,0,0,3.11,0,1.94,0
27.1941326698074,82.94719843300808,9,1,8,2,1,9129,1371,60,5.2,0,0,0,3.38,1,0.43,0
30.2511957491322,85.22097774689075,4,3,1,3,0,8146,24,30,5.4,0,2,0,5.72,0,8.95,0
29.661724661313933,81.12494968667048,10,5,5,1,0,2950,67,80,4.6,0,0,1,0.15,3,0.44,0
26.97814976707071,82.76006012307688,11,0,3,1,3,8610,82,50,4.2,2,0,1,3.28,0,0.11,1
29.364233085002727,80.36536325145934,22,6,9,2,3,264,360,50,8.6,0,3,0,2.56,1,3.35,1
26.841181139795278,84.39077854877354,1,2,2,0,2,9981,20,40,8.3,0,1,2,8.17,2,2.61,1
30.38214205411019,80.61661027801318,8,6,11,1,1,4777,169,80,6.8,1,3,0,0.87,1,2.59,1
27.671672715681446,82.23208029144823,4,1,5,1,2,6501,95,50,7.3,1,3,0,3.3,3,53.85,1
28.348227332034877,83.2545771600369,18,5,9,3,2,6416,171,80,4.2,2,2,0,2.35,0,30.46,1
28.145090140523738,85.19222386095174,21,1,9,1,2,2368,70,60,6.9,0,1,0,9.25,1,0.85,0
26.942267590700553,84.14402618283545,16,1,6,0,3,7106,114,40,6.2,0,3,2,8.52,0,7.13,1
29.903518492300908,85.45305821856789,17,5,3,3,2,4983,157,30,7.0,0,2,0,7.02,0,34.43,1
29.90917283204176,80.9967330721457,2,1,6,0,0,7698,48,50,4.5,0,0,2,6.18,2,24.91,0
28.87666290989837,84.4025581536254,2,2,5,1,1,2241,152,60,6.6,0,1,1,10.33,3,3.58,1
27.05047419432186,87.56494638479728,2,0,11,3,1,4328,321,60,6.1,2,3,0,15.56,1,6.89,1
26.406244581534313,84.51585669354361,22,5,7,2,1,9427,106,30,6.3,0,1,0,2.06,2,2.22,0
27.73075291226505,82.39365679965384,13,3,5,2,0,4670,57,50,4.9,0,1,0,4.74,2,83.41,0
28.571185990346162,87.82291510486664,17,0,2,3,3,1426,26,80,3.6,2,2,2,3.3,4,7.6,1
27.08366584485661,85.82924698375894,14,1,5,1,2,1521,70,40,7.9,0,2,2,2.27,2,8.46,1
27.150303768469595,80.18648916190615,23,3,2,0,3,580,198,60,5.2,3,1,1,2.92,1,22.34,1
29.485098187354794,83.66917082806879,19,1,2,2,1,4467,99,100,4.0,0,2,0,3.34,3,21.88,0
27.208220406645218,87.80503572057816,13,0,10,1,2,3178,251,50,8.4,0,2,0,0.6,2,5.92,0
28.076231923315,85.45249998768553,14,3,10,0,1,9629,289,30,9.7,0,2,0,5.56,1,3.34,0
30.059149451595886,80.61887539707052,8,1,7,2,1,6645,18,60,5.6,0,0,2,0.8,2,12.8,0
29.5723611760007,83.19839547002213,6,0,8,3,1,2708,378,50,3.7,1,1,2,11.97,1,2.31,0
27.084183454118676,86.44592781366855,17,6,7,3,0,7915,455,60,9.5,1,2,0,3.16,1,46.59,0
29.86161950925355,82.6733920839082,4,0,5,3,1,4900,94,100,8.8,0,2,0,5.42,2,18.95,0
30.146818535127785,84.69063702780235,2,6,7,0,3,8280,922,60,4.6,0,1,2,7.47,0,1.28,1
29.03174215669105,88.02223423202334,6,3,2,3,1,5668,41,60,8.8,1,0,0,13.24,2,1.58,0
26.760337623160705,87.556351884417,0,1,1,3,2,7576,75,40,4.1,0,3,2,2.35,1,0.26,1
29.7195075955894,85.51911934140779,5,4,10,0,1,1037,324,40,3.5,0,0,2,2.3,0,7.27,0
30.350068396651718,85.66075042680296,10,6,6,2,2,590,104,80,9.2,0,2,1,1.58,2,8.9,1
27.91197023135392,81.75000485629847,1,0,8,1,0,9312,113,60,6.1,1,2,0,7.33,1,11.72,0
28.991275583098783,80.43632629137427,16,6,4,1,2,8386,133,80,5.4,0,2,3,10.69,2,16.42,1
27.3598915859786,87.60956544988535,14,1,8,2,2,7835,53,30,4.3,2,3,0,0.56,2,7.17,0
26.66496997938512,81.87926905077549,11,2,8,2,2,148,341,50,3.5,1,2,2,9.84,1,8.69,1
27.038883884536023,86.86468120019833,15,6,10,2,2,1475,781,40,9.9,1,3,0,4.87,3,18.47,1
29.8394522209719,84.8192226380511,4,3,1,0,2,3761,192,50,7.3,3,3,0,5.12,1,10.09,0
26.783916548025285,80.67517203411825,7,5,4,2,3,4616,100,30,4.7,2,1,2,17.17,0,9.91,1
29.736468811728535,86.33816353934242,1,3,7,2,3,4400,199,50,7.1,3,3,2,8.1,2,26.03,0
28.252176844104866,83.70054055150757,10,5,8,0,2,4958,280,50,6.8,2,2,2,13.16,2,13.28,1
29.000770836182234,83.32413368698496,5,5,8,1,0,4312,60,40,6.7,0,2,1,8.13,3,24.8,1
28.17319877577191,80.43067688917832,14,1,7,2,3,1534,11,60,4.1,0,2,0,7.61,0,1.21,0
