disaster_type,people_count,children_count,elderly_count,injured_count,critical_count,time_elapsed_min,weather_severity,location_accessibility,flood_risk_score,landslide_risk_score,available_teams,nearest_team_dist_km,priority_score,priority_class
2,188,46,93,74,23,9.1,2,1,0.0312,0.7056,18,2.12,0.8041,3
1,197,61,5,83,23,37.0,0,1,0.1195,0.113,5,4.33,0.8223,3
5,80,10,12,33,12,7.2,3,2,0.669,0.0379,0,7.36,0.5692,1
0,95,16,2,30,3,6.8,0,1,0.9264,0.296,12,1.38,0.5536,1
1,109,26,6,22,5,4.8,0,1,0.8129,0.4303,18,1.48,0.5649,1
7,112,27,9,60,2,48.6,2,0,0.8793,0.9363,8,6.6,0.5518,1
3,187,25,22,53,36,21.2,2,0,0.2546,0.0651,17,35.86,0.7917,2
0,193,4,27,78,7,26.5,2,1,0.3711,0.0949,11,27.91,0.6934,2
4,61,19,11,49,14,38.4,0,1,0.523,0.4574,16,0.84,0.6336,2
0,160,33,0,75,7,6.3,1,1,0.2757,0.9248,2,0.4,0.5841,1
2,17,1,1,14,0,25.7,2,0,0.3216,0.1887,19,3.04,0.3134,0
3,174,18,32,92,33,6.9,0,1,0.0467,0.8967,1,23.01,0.6978,2
6,157,9,0,46,31,47.4,2,2,0.928,0.7826,0,22.62,0.6619,2
4,62,18,3,20,4,0.6,1,2,0.8991,0.2921,7,20.01,0.4554,1
2,23,2,10,5,2,3.9,2,0,0.36,0.1241,14,22.26,0.343,0
0,114,37,14,45,1,0.2,1,3,0.0673,0.334,11,5.44,0.6382,2
5,147,76,5,34,5,69.2,0,0,0.3839,0.132,16,2.71,0.6365,2
7,84,7,11,39,7,21.5,0,2,0.2037,0.1585,18,6.59,0.52,1
0,186,64,41,104,12,23.7,0,0,0.4174,0.043,6,30.48,0.6535,2
0,168,18,8,60,31,88.5,1,0,0.4669,0.4751,0,8.42,0.8081,3
5,190,16,69,27,2,25.6,0,1,0.0679,0.7389,5,16.07,0.5389,1
3,21,0,1,14,2,13.5,0,1,0.2151,0.1809,9,44.2,0.3185,0
0,69,38,8,4,0,22.5,3,0,0.4699,0.561,10,89.22,0.5883,1
3,38,6,0,13,4,34.0,0,2,0.7074,0.6063,16,4.35,0.3809,1
5,68,12,8,54,25,14.0,0,3,0.4911,0.8618,4,2.3,0.6305,2
